t	roll	pitch	yaw
1340.6800	0.1768	0.3151	-24.3885
1340.6850	0.1768	0.3151	-24.3885
1340.6900	0.1058	0.1735	-24.9887
1340.6950	0.1058	0.1735	-24.9887
1340.7000	0.1831	-0.0406	-25.5877
1340.7050	0.1831	-0.0406	-25.5877
1340.7100	0.0845	0.3618	-26.1870
1340.7150	0.0845	0.3618	-26.1870
1340.7200	0.2614	0.2871	-26.7846
1340.7250	0.2614	0.2871	-26.7846
1340.7300	0.0745	0.2529	-27.3852
1340.7350	0.0745	0.2529	-27.3852
1340.7400	0.0614	0.2453	-27.9842
1340.7450	0.0614	0.2453	-27.9842
1340.7500	0.0677	0.2497	-28.5829
1340.7550	0.0677	0.2497	-28.5829
1340.7600	0.1165	0.2237	-29.1811
1340.7650	0.1165	0.2237	-29.1811
1340.7700	0.0947	0.2549	-29.7799
1340.7750	0.0947	0.2549	-29.7799
1340.7800	0.0904	0.1782	-30.3785
1340.7850	0.0904	0.1782	-30.3785
1340.7900	0.0667	0.2021	-30.9770
1340.7950	0.0667	0.2021	-30.9770
1340.8000	0.0339	0.1427	-31.5757
1340.8050	0.0339	0.1427	-31.5757
1340.8100	0.0235	0.4492	-32.1737
1340.8150	0.0235	0.4492	-32.1737
1340.8200	0.0394	0.1210	-32.7720
1340.8250	0.0394	0.1210	-32.7720
1340.8300	0.1669	0.2288	-33.3689
1340.8350	0.1669	0.2288	-33.3689
1340.8400	0.0364	0.2536	-33.9680
1340.8450	0.0364	0.2536	-33.9680
1340.8500	-0.0095	0.3151	-34.5662
1340.8550	-0.0095	0.3151	-34.5662
1340.8600	0.4260	-0.2448	-35.1628
1340.8650	0.4260	-0.2448	-35.1628
1340.8700	-0.0121	0.0896	-35.7620
1340.8750	-0.0121	0.0896	-35.7620
1340.8800	0.0997	0.3270	-36.3585
1340.8850	0.0997	0.3270	-36.3585
1340.8900	0.0116	0.2356	-36.9571
1340.8950	0.0116	0.2356	-36.9571
1340.9000	-0.0981	0.4466	-37.5555
1340.9050	-0.0981	0.4466	-37.5555
1340.9100	0.0909	0.2375	-38.1514
1340.9150	0.0909	0.2375	-38.1514
1340.9200	0.0805	0.2382	-38.7489
1340.9250	0.0805	0.2382	-38.7489
1340.9300	0.0708	0.2439	-39.3464
1340.9350	0.0708	0.2439	-39.3464
1340.9400	0.1056	0.1832	-39.9435
1340.9450	0.1056	0.1832	-39.9435
1340.9500	0.0974	0.1689	-40.5409
1340.9550	0.0974	0.1689	-40.5409
1340.9600	0.1153	0.2142	-41.1378
1340.9650	0.1153	0.2142	-41.1378
1340.9700	0.0014	0.4438	-41.7356
1340.9750	0.0014	0.4438	-41.7356
1340.9800	-0.1724	0.5795	-42.3343
1340.9850	-0.1724	0.5795	-42.3343
1340.9900	0.0685	0.2279	-42.9293
1340.9950	0.0685	0.2279	-42.9293
1341.0000	0.1599	0.2621	-43.5254
1341.0050	0.1599	0.2621	-43.5254
1341.0100	0.3495	0.1057	-44.1214
1341.0150	0.3495	0.1057	-44.1214
1341.0200	0.3313	0.0016	-44.7188
1341.0250	0.3313	0.0016	-44.7188
1341.0300	0.0114	0.3434	-45.3171
1341.0350	0.0114	0.3434	-45.3171
1341.0400	0.0811	0.2341	-45.9134
1341.0450	0.0811	0.2341	-45.9134
1341.0500	0.0760	0.1076	-46.5103
1341.0550	0.0760	0.1076	-46.5103
1341.0600	-0.0233	0.1785	-47.1075
1341.0650	-0.0233	0.1785	-47.1075
1341.0700	-0.0233	0.1785	-47.1075
1341.0750	0.0845	0.2455	-47.7032
1341.0800	0.0840	0.2482	-48.2997
1341.0850	0.0840	0.2482	-48.2997
1341.0900	0.1220	0.3190	-48.8957
1341.0950	0.1220	0.3190	-48.8957
1341.1030	0.1220	0.3190	-48.8957
1341.1050	0.4649	0.1338	-49.4902
1341.1100	0.2149	0.1930	-50.0882
1341.1150	0.2149	0.1930	-50.0882
