x_1	x_2	xref_1	xref_2	u_1
6.6796	2.0084	8.0000	8.0000	10.0000
6.6920	2.0143	8.0000	8.0000	10.0000
6.7044	2.0202	8.0000	8.0000	10.0000
6.7167	2.0262	8.0000	8.0000	10.0000
6.7291	2.0321	8.0000	8.0000	10.0000
6.7414	2.0380	8.0000	8.0000	10.0000
6.7537	2.0440	8.0000	8.0000	10.0000
6.7660	2.0499	8.0000	8.0000	10.0000
6.7783	2.0558	8.0000	8.0000	10.0000
6.7906	2.0618	8.0000	8.0000	10.0000
6.8029	2.0677	8.0000	8.0000	10.0000
6.8152	2.0737	8.0000	8.0000	10.0000
6.8274	2.0796	8.0000	8.0000	10.0000
6.8397	2.0856	8.0000	8.0000	10.0000
6.8519	2.0915	8.0000	8.0000	10.0000
6.8641	2.0975	8.0000	8.0000	10.0000
6.8763	2.1034	8.0000	8.0000	10.0000
6.8885	2.1094	8.0000	8.0000	10.0000
6.9007	2.1153	8.0000	8.0000	10.0000
6.9129	2.1213	8.0000	8.0000	10.0000
6.9250	2.1272	8.0000	8.0000	10.0000
6.9372	2.1332	8.0000	8.0000	10.0000
6.9493	2.1392	8.0000	8.0000	10.0000
6.9614	2.1451	8.0000	8.0000	10.0000
6.9735	2.1511	8.0000	8.0000	10.0000
6.9856	2.1571	8.0000	8.0000	10.0000
6.9977	2.1630	8.0000	8.0000	10.0000
7.0098	2.1690	8.0000	8.0000	10.0000
7.0219	2.1750	8.0000	8.0000	10.0000
7.0339	2.1809	8.0000	8.0000	10.0000
7.0460	2.1869	8.0000	8.0000	10.0000
7.0580	2.1929	8.0000	8.0000	10.0000
7.0700	2.1988	8.0000	8.0000	10.0000
7.0820	2.2048	8.0000	8.0000	10.0000
7.0940	2.2108	8.0000	8.0000	10.0000
7.1060	2.2168	8.0000	8.0000	10.0000
7.1180	2.2228	8.0000	8.0000	10.0000
7.1299	2.2287	8.0000	8.0000	10.0000
7.1419	2.2347	8.0000	8.0000	10.0000
7.1538	2.2407	8.0000	8.0000	10.0000
7.1658	2.2467	8.0000	8.0000	10.0000
7.1777	2.2527	8.0000	8.0000	10.0000
7.1896	2.2586	8.0000	8.0000	10.0000
7.2015	2.2646	8.0000	8.0000	10.0000
7.2134	2.2706	8.0000	8.0000	10.0000
7.2252	2.2766	8.0000	8.0000	10.0000
7.2371	2.2826	8.0000	8.0000	10.0000
7.2489	2.2886	8.0000	8.0000	10.0000
7.2608	2.2946	8.0000	8.0000	10.0000
7.2726	2.3006	8.0000	8.0000	10.0000
7.2844	2.3066	8.0000	8.0000	10.0000
7.2962	2.3126	8.0000	8.0000	10.0000
7.3080	2.3186	8.0000	8.0000	10.0000
7.3198	2.3246	8.0000	8.0000	10.0000
7.3316	2.3306	8.0000	8.0000	10.0000
7.3433	2.3366	8.0000	8.0000	10.0000
7.3551	2.3426	8.0000	8.0000	10.0000
7.3668	2.3486	8.0000	8.0000	10.0000
7.3785	2.3546	8.0000	8.0000	10.0000
7.3903	2.3606	8.0000	8.0000	10.0000
7.4020	2.3666	8.0000	8.0000	10.0000
7.4137	2.3726	8.0000	8.0000	10.0000
7.4253	2.3786	8.0000	8.0000	10.0000
7.4370	2.3846	8.0000	8.0000	10.0000
7.4487	2.3906	8.0000	8.0000	10.0000
7.4603	2.3966	8.0000	8.0000	10.0000
7.4720	2.4026	8.0000	8.0000	10.0000
7.4836	2.4086	8.0000	8.0000	10.0000
7.4952	2.4147	8.0000	8.0000	10.0000
7.5068	2.4207	8.0000	8.0000	10.0000
7.5184	2.4267	8.0000	8.0000	10.0000
7.5300	2.4327	8.0000	8.0000	10.0000
7.5416	2.4387	8.0000	8.0000	10.0000
7.5531	2.4447	8.0000	8.0000	10.0000
7.5647	2.4508	8.0000	8.0000	10.0000
7.5762	2.4568	8.0000	8.0000	10.0000
7.5878	2.4628	8.0000	8.0000	10.0000
7.5993	2.4688	8.0000	8.0000	10.0000
7.6108	2.4748	8.0000	8.0000	10.0000
7.6223	2.4809	8.0000	8.0000	10.0000
7.6338	2.4869	8.0000	8.0000	10.0000
7.6453	2.4929	8.0000	8.0000	10.0000
7.6567	2.4989	8.0000	8.0000	10.0000
7.6682	2.5050	8.0000	8.0000	10.0000
7.6797	2.5110	8.0000	8.0000	10.0000
7.6911	2.5170	8.0000	8.0000	10.0000
7.7025	2.5230	8.0000	8.0000	10.0000
7.7139	2.5291	8.0000	8.0000	10.0000
7.7253	2.5351	8.0000	8.0000	10.0000
7.7367	2.5411	8.0000	8.0000	9.9471
7.7480	2.5472	8.0000	8.0000	9.5506
7.7582	2.5532	8.0000	8.0000	9.1901
7.7675	2.5592	8.0000	8.0000	8.8624
7.7760	2.5653	8.0000	8.0000	8.5645
7.7837	2.5713	8.0000	8.0000	8.2938
7.7906	2.5773	8.0000	8.0000	8.0476
7.7970	2.5833	8.0000	8.0000	7.8239
7.8028	2.5894	8.0000	8.0000	7.6205
7.8080	2.5954	8.0000	8.0000	7.4357
7.8128	2.6014	8.0000	8.0000	7.2676
7.8171	2.6074	8.0000	8.0000	7.1148
7.8211	2.6134	8.0000	8.0000	6.9760
7.8247	2.6194	8.0000	8.0000	6.8497
7.8280	2.6254	8.0000	8.0000	6.7350
7.8309	2.6314	8.0000	8.0000	6.6307
7.8336	2.6373	8.0000	8.0000	6.5358
7.8361	2.6433	8.0000	8.0000	6.4496
7.8383	2.6493	8.0000	8.0000	6.3713
7.8404	2.6552	8.0000	8.0000	6.3001
7.8422	2.6612	8.0000	8.0000	6.2353
7.8439	2.6671	8.0000	8.0000	6.1765
7.8454	2.6730	8.0000	8.0000	6.1230
7.8468	2.6790	8.0000	8.0000	6.0743
7.8481	2.6849	8.0000	8.0000	6.0301
7.8492	2.6908	8.0000	8.0000	5.9899
7.8503	2.6967	8.0000	8.0000	5.9534
7.8512	2.7026	8.0000	8.0000	5.9202
7.8521	2.7085	8.0000	8.0000	5.8900
7.8529	2.7143	8.0000	8.0000	5.8626
7.8536	2.7202	8.0000	8.0000	5.8376
7.8543	2.7261	8.0000	8.0000	5.8149
7.8549	2.7319	8.0000	8.0000	5.7943
7.8554	2.7378	8.0000	8.0000	5.7756
7.8559	2.7436	8.0000	8.0000	5.7586
7.8564	2.7494	8.0000	8.0000	5.7431
7.8568	2.7552	8.0000	8.0000	5.7290
7.8572	2.7610	8.0000	8.0000	5.7162
7.8575	2.7668	8.0000	8.0000	5.7046
7.8578	2.7726	8.0000	8.0000	5.6940
7.8581	2.7784	8.0000	8.0000	5.6844
7.8584	2.7842	8.0000	8.0000	5.6756
7.8586	2.7899	8.0000	8.0000	5.6677
7.8589	2.7957	8.0000	8.0000	5.6605
7.8591	2.8014	8.0000	8.0000	5.6539
7.8592	2.8072	8.0000	8.0000	5.6479
7.8594	2.8129	8.0000	8.0000	5.6425
7.8596	2.8186	8.0000	8.0000	5.6376
7.8597	2.8244	8.0000	8.0000	5.6331
7.8598	2.8301	8.0000	8.0000	5.6290
7.8600	2.8358	8.0000	8.0000	5.6253
7.8601	2.8414	8.0000	8.0000	5.6220
7.8602	2.8471	8.0000	8.0000	5.6189
7.8603	2.8528	8.0000	8.0000	5.6161
7.8603	2.8585	8.0000	8.0000	5.6136
